graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
614,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0614,2.3253936767578125,32.84624481201172,1078.909912109375,34.036380767822266,50,41,12,12.0,12
615,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0615,2.737748384475708,42.35498809814453,1252.4742431640625,31.08698081970215,50,43,12,12.0,12
616,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0616,2.6017508506774902,42.911128997802734,1160.255859375,17.46278190612793,50,46,12,12.0,12
617,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0617,1.1613757610321045,41.2286376953125,1392.6322021484375,20.27311897277832,50,48,12,12.0,12
618,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0618,3.1538050174713135,33.55188751220703,1111.5220947265625,33.22772216796875,50,41,12,12.0,12
619,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0619,2.503753185272217,39.347469329833984,1157.533447265625,12.86821174621582,50,47,12,12.0,12
620,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0620,1.8844242095947266,29.29585075378418,1127.442138671875,25.884632110595703,50,44,12,12.0,12
621,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0621,3.155696392059326,26.604543685913086,1180.6156005859375,34.307395935058594,50,41,12,12.0,12
622,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0622,2.659705638885498,35.42113494873047,1171.1754150390625,12.5325288772583,50,47,12,12.0,12
623,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0623,1.8222955465316772,33.15416717529297,1126.1016845703125,24.01358985900879,50,44,12,12.0,12
624,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0624,1.271261215209961,37.67219161987305,1256.19677734375,10.016528129577637,50,49,12,12.0,12
625,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0625,3.955223798751831,33.222496032714844,1134.9818115234375,40.72789001464844,50,39,12,12.0,12
626,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0626,0.9140809774398804,27.182701110839844,814.8145751953125,10.774944305419922,50,49,12,12.0,12
627,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0627,1.6705882549285889,32.900169372558594,1142.91015625,15.819244384765625,50,48,12,12.0,12
